指标名称,旅客周转量_当月
2006年01月,173.66
2006年02月,166.48
2006年03月,180.98
2006年04月,197.83
2006年05月,190.13
2006年06月,183.31
2006年07月,223.6
2006年08月,232.46
2006年09月,212.96
2006年10月,214.97
2006年11月,195.91
2006年12月,187.3
2007年01月,189.4
2007年02月,206.1
2007年03月,221.4
2007年04月,229.9
2007年05月,225.38
2007年06月,218.91
2007年07月,258.41
2007年08月,271.29
2007年09月,245.67
2007年10月,250.06
2007年11月,231.04
2007年12月,223.53
2008年01月,231.83
2008年02月,232.4
2008年03月,237.22
2008年04月,245.58
2008年05月,227.63
2008年06月,212.01
2008年07月,251.83
2008年08月,234.58
2008年09月,240.96
2008年10月,268.95
2008年11月,245.42
2008年12月,237.28
2009年01月,266.28
2009年02月,253.08
2009年03月,264.33
2009年04月,272.94
2009年05月,266.93
2009年06月,254.28
2009年07月,301.36
2009年08月,324.43
2009年09月,281.08
2009年10月,314.77
2009年11月,290.51
2009年12月,286.37
2010年01月,302.12
2010年02月,313.79
2010年03月,329.08
2010年04月,320.91
2010年05月,320.39
2010年06月,326.35
2010年07月,379.11
2010年08月,390.2
2010年09月,342.23
2010年10月,365.26
2010年11月,316.14
2010年12月,328.78
2011年01月,357.48
2011年02月,341.59
2011年03月,349.61
2011年04月,368.19
2011年05月,363.69
2011年06月,356.25
2011年07月,411.49
2011年08月,420.59
2011年09月,386.48
2011年10月,404.77
2011年11月,371.71
2011年12月,368.89
2012年01月,412.2576
2012年02月,374.35
2012年03月,393.612
2012年04月,404.79
2012年05月,392.7
2012年06月,395.37
2012年07月,466.57
2012年08月,477.89
2012年09月,430.67
2012年10月,438.68
2012年11月,409.18
2012年12月,414.94
2013年01月,419.09
2013年02月,451.48
2013年03月,461.25
2013年04月,451.05
2013年05月,448.45
2013年06月,456.41
2013年07月,519.2
2013年08月,550.37
2013年09月,489.22
2013年10月,497.17
2013年11月,454.79
2013年12月,460
2014年01月,505.38
2014年02月,511.26
2014年03月,493.44
2014年04月,501.4
2014年05月,496.59
2014年06月,490.11
2014年07月,573.59
2014年08月,599.17
2014年09月,535.54
2014年10月,556.8
2014年11月,523.53
2014年12月,528.13
2015年01月,545.17
2015年02月,585.76
2015年03月,607.41
2015年04月,580.01
2015年05月,577.43
2015年06月,565.18
2015年07月,655.9
2015年08月,699.52
2015年09月,615.27
2015年10月,642.07
2015年11月,589.21
2015年12月,607.69
2016年01月,655.15
2016年02月,674.63
2016年03月,661.2
2016年04月,667.72
2016年05月,656.3
2016年06月,655.4
2016年07月,748.49
2016年08月,796.1
2016年09月,714.64
